year,serial,pernum,winning_model_p,winning_model_high_recall
2019,906175,2,0.19449802414909487,0
2019,94983,1,0.16913790234396,0
2019,1367650,1,0.17683292033981476,0
2012,1315746,2,0.12900015606346096,0
2016,145448,1,0.12932076103912699,0
2018,1403290,1,0.18961054551979914,0
2013,777183,1,0.2530998307619976,0
2015,202367,1,0.22292095521254787,0
2013,755611,1,0.36504179118616736,1
2019,796061,2,0.1789944437205291,0
2017,1216881,1,0.42865486288417953,1
2010,567533,2,0.12125520720815584,0
2010,895268,1,0.336017668738156,1
2015,1316692,1,0.13976687328388912,0
2019,901592,2,0.15566259140885566,0
2019,110375,2,0.2041373273005922,0
2014,821128,2,0.14103757163981429,0
2012,342688,1,0.20924963355111387,0
2019,1085827,1,0.1447214942523348,0
2012,387867,1,0.17773520214401523,0
2011,1193796,1,0.25261797029920285,0
2018,290966,1,0.24479796921976213,0
2012,253778,1,0.2878466705909664,1
2017,821928,1,0.1824785308098924,0
2019,942414,1,0.12506890117120942,0
2017,625782,1,0.13931343932502083,0
2017,1345173,1,0.177250648763549,0
2018,230038,1,0.23236427169582766,0
2010,1081401,1,0.14037979442970486,0
2017,77781,2,0.20929252550308783,0
2016,178984,1,0.14786374656844034,0
2009,888843,1,0.177250648763549,0
2018,176372,2,0.16831113633533323,0
2016,119162,2,0.17105022298549957,0
2012,106810,1,0.17979795965233134,0
2019,213729,2,0.1732572998415112,0
2019,607097,1,0.2992382418010054,1
2018,938962,1,0.12822093049608194,0
2014,329047,2,0.23425795924014728,0
2009,465923,1,0.15848236418970502,0
2017,401379,1,0.19803463202608548,0
2016,1179267,1,0.23639361597900138,0
2012,787487,2,0.13164181042400142,0
2010,278979,1,0.16685225107044346,0
2016,1056501,1,0.22180405568046727,0
2019,146600,1,0.16032665961166254,0
2018,1345312,1,0.12034996981597156,0
2013,76213,1,0.1354287731884103,0
2011,1185253,1,0.1458066836294023,0
2016,358912,2,0.22373740673921716,0
2016,164827,1,0.12083958031674745,0
2017,295654,2,0.247741133337595,0
2011,168883,2,0.17100510007091932,0
2013,37365,1,0.14435151093216494,0
2009,720041,1,0.15602625177716398,0
2013,210399,2,0.19244211595187444,0
2010,1055612,3,0.10699257221812038,0
2016,115278,1,0.1685964878755268,0
2012,190962,1,0.12888659841716713,0
2018,1282732,1,0.11115387637395131,0
2018,857669,1,0.16299266732553425,0
2014,1230088,1,0.20181498417700477,0
2016,651656,1,0.25964383686863357,0
2019,911610,1,0.2192373050440596,0
2014,598948,2,0.11918393284228439,0
2015,94525,2,0.27290426371103166,1
2018,1325253,2,0.19871204400423717,0
2017,924717,2,0.16695770158750856,0
2019,359808,1,0.14580151793725996,0
2017,447565,1,0.3410517206590255,1
2015,310437,1,0.21175417285072182,0
2010,801648,2,0.19202253464827182,0
2015,913602,1,0.09943799278033193,0
2010,774826,1,0.16739383884395329,0
2014,1226269,2,0.2041614267598751,0
2015,792198,1,0.2124401240950542,0
2017,874869,1,0.24124861482843385,0
2018,379935,2,0.15006799268452858,0
2016,324561,1,0.21214401686200052,0
2015,110493,2,0.12803654521170568,0
2015,37127,1,0.14517727844483344,0
2013,871322,1,0.20754739884620424,0
2011,395425,2,0.1476279674621372,0
2013,641980,1,0.22358401385465929,0
2017,1154652,2,0.11143010048810927,0
2014,440222,1,0.11267362727612228,0
2014,92081,2,0.13374953392455513,0
2015,103610,2,0.13611226886038047,0
2014,1325416,1,0.30071043878842124,1
2013,81263,1,0.2916387467474783,1
2013,35201,3,0.15464033076903846,0
2019,87718,1,0.19827756919292217,0
2015,519246,1,0.3796891016090492,1
